Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
K8A,Jonah: swallowed by an aquatic or chthonic creature.,"Witoto, Ocaina",-2,-73,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=85409f3862523626551d4068,https://www.ruthenia.ru/folklore/berezkin/k8a.html,"Urbina 1991, No. 1 (muinane) : 19-20"
k9,The wife of a deity is thrown down from heaven.,"Lithuanians, Latvians",55.3,24,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=LQ8G09XDY0-ajvGKFXxkiA,https://www.ruthenia.ru/folklore/berezkin/k9.html,
k9,The wife of a deity is thrown down from heaven.,"Five Nations Iroquois (Seneca, Mohawk, Onondaga, Oneida, Cayuga)",42.7,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=xPm7lwsZuESJz96dn4fJtQ,https://www.ruthenia.ru/folklore/berezkin/k9.html,
K10,Battle with a bird.,"Witoto, Ocaina",-2,-73,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8afa6882fe9ba891616816c2,https://www.ruthenia.ru/folklore/berezkin/k10.html,"Urbina 1991, No. 1 (muinane) : 19-20"
K12,Kidnapped and returned.,Chilkotin,52,-124,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=a18f722cb590bb40259c088d,https://www.ruthenia.ru/folklore/berezkin/k12.html,
K12,Kidnapped and returned.,Snowman,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4fa40f5ec942ddf84aa00943,https://www.ruthenia.ru/folklore/berezkin/k12.html,
K12,Kidnapped and returned.,"Klamath, Modoc",43.5,-122,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=baj0ptjlzcl3lu8wlnlypm9c,https://www.ruthenia.ru/folklore/berezkin/k12.html,modoc : Curtin 1912:1-16 .
K13A,Severed leg: a person ascends to the sky.,"Pemon: Arekuna (incl. Kamarakoto), Taulipang (Taurepan)",6,-62.3,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=e44b3f866ba5ee1c42f3a151,https://www.ruthenia.ru/folklore/berezkin/k13a.html,
K15,No one but this beggar.,"Arabs Of Iraq, Iraqi",32,46,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fe42b2031a5dff14ecd78e17,https://www.ruthenia.ru/folklore/berezkin/k15.html,
K15A,Substituted weapon.,"Barasana, Taibano, Macuna",0.2,-70.4,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=1387167e83bd87590e7e0c86,https://www.ruthenia.ru/folklore/berezkin/k15a.html,
