Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
j1a,The myth of the avengers with a full plot,"Napo (Quijo), Kanelo (“Jungle Kechua”)",-2,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=MFvIE7UIRUChSncoPzX4MQ,https://www.ruthenia.ru/folklore/berezkin/j1a.html,Oberem 1957 (quijo) : 183-184
j1d,"Heroic avengers - Like J1D, but the role of potential heroes is reduced to a minimum: a woman with a baby is saved from the antagonist and receives help from &lt;i&gt;the patron &lt;/i&gt;.",Lepcha,27.1,83.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=NTxyo3NiRwyXMh0TJDTMug,https://www.ruthenia.ru/folklore/berezkin/j1d.html,": Stocks 1925, No. XXIV: 388-404."
J3,Conception from under the earth.,Hopi,36.5,-110,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=qiohsgzjqj9drb5reudmndsx,https://www.ruthenia.ru/folklore/berezkin/j3.html,"Hopi (Oraibi) : Titiev 1939:91-94 (=Slifer, Duffield 1993:127-128)"
J4,Revenge for the death of male relatives.,"Tuvinians Of Tuva, Tuvans",51,94,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=59d41b6daff0c69346383dfd,https://www.ruthenia.ru/folklore/berezkin/j4.html,
J4,Revenge for the death of male relatives.,Tofa (Karagas),53,99,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=pli7blh7v9kerx7x94ht9q83,https://www.ruthenia.ru/folklore/berezkin/j4.html,Tofalars : Sherkhunaev 1975:272-277 (quail in Sangi 1989:136-140)
J4,Revenge for the death of male relatives.,Daur (Daghur),50.5,125,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=157c28ea5b103205971ca254,https://www.ruthenia.ru/folklore/berezkin/j4.html,
J4,Revenge for the death of male relatives.,"Hindi-speaking Peoples And Casts (incl. Teli, Parahiya; Incl. Chhattisgarhi) Of Northern And West-Central India",25.27818,80.19727,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=1c065fda9dc27ca329020408,https://www.ruthenia.ru/folklore/berezkin/j4.html,
J4,Revenge for the death of male relatives.,"Central Tibetans (Yu Tsang, Incl. Sikkim Tibetans, Tichurong Of NW Nepal)",30.54691,88.83594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=be5fb3bfb21d2a7a0f2a849a,https://www.ruthenia.ru/folklore/berezkin/j4.html,
J4,Revenge for the death of male relatives.,"Witoto, Ocaina",-2,-73,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=e2885bb116b68ba0a2ceaff7,https://www.ruthenia.ru/folklore/berezkin/j4.html,"Preuss 1921, No. 9 : 314-330"
J4,Revenge for the death of male relatives.,Koreans,37.72244,127.06055,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=098052bc424e6387114a9cce,https://www.ruthenia.ru/folklore/berezkin/j4.html,
