Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
,N/A,Wales,52.70169,-3.87158,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=kb8DDimpBUyEjN7473lzlNOe,N/A,
,N/A,USA,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=KWcBn1TRDQIzKjAOZDjetOrq,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=jwHzdKLHwRLCcPuaGYk2UO3c,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=RSUie7N04C2C5LCztUsDR5Os,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=blyg1zpqJ33PGd75tBMDKJMS,N/A,
,N/A,"Bulgarians, Balkarians",42.5,25,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=T74kfABRwUEsAF9G6DBnlckw,N/A,
,N/A,Japan,36.767,137.469,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Wn0UlQgjQu7gsJDVQpYP7UEQ,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=cL9BVSUmQIMBZetwk5e4srat,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=VoeNXFoz2DrWZH5Nk15dwmPb,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=jGInN5eBqsqvFCK8hAGyzuIZ,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=0ROrbDHDouqZszV5NLRNkKvg,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9UPUOVv8rlzedHWPsdB2vWtU,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4fC0D4plQ9QHkZGSdW5lm5SI,N/A,
,N/A,The Quran,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=iWyLcdbu1YcUpumEFOdZcc4V,N/A,
,N/A,Austria / Italy,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=TcNgdESWAEBYotNUSZMvwPsl,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=s6EhODSTv8rjanClmqblWevs,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=uqr0WqFE74sV21ETPpT1hi85,N/A,
,N/A,Philippines,15.587,121.822,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=EmnJpyWkfBoKttvHIc7RoboF,N/A,
,N/A,Philippines,15.587,121.822,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=m1RoSWapaZ11XuMWi0hDsGa0,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ZRPWJxQxLFRqSjMl3whgzwgn,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=l6Kz60pOlEAjX3TuQ3DZavh9,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7uPL7noFNwYWX9Ivnx5xigx9,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=CNE9QyA8If4NeZcx4YGtdyoc,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=GBd42hCpwjWAzm5ASrFgz7dl,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Jp2Da2I5VMgma7ljDOW6vL9I,N/A,
,N/A,Austria,47.632,13.798,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7OkKlCVoAHALqrekTkS9o4yh,N/A,
,N/A,Georgia,42.18,43.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=mNWQBvThd2nU8y2lKQwDqPTp,N/A,
,N/A,Poles,52,21,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=3p1W4Zbz8e9ygCOsL8CmsW3p,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gqi3NcEll8ootJhQdzwlZlJW,N/A,
,N/A,James Howell,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=hMZYHoXQoEySu9oVGHsffBue,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=1R2sf3oEyOzjzI87Guv7dHwL,N/A,
,N/A,Native American,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5FNYexibyQordoNYKM9mUxWP,N/A,
,N/A,"Germans: South (Upper German Dialects): Alsace (Elsass), Baden-Württemberg, Bawaria, Swabia, Switzerland, Bohemia, Sudeten, Austria",48.8,12,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=kynF6a82e33wSoirgcWThSAN,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=UkOMZrcy6X5L1CtzPEAdt38U,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2fO1A6yz2UlYxwzfit0f1CLk,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fwZMQynOAIa06D2o6JE9c5VS,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=L2B5jajwdHk4SJJvVz0DAjvf,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=IAlGVHQ1IXGhfL1mbbRfXigH,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=103RcWjDuMKK2MrGD5uWqK2I,N/A,
,N/A,Swedes,59.7741,16.20703,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=H56mtz3dyKUZvM9QLFogQcCq,N/A,
,N/A,Greece,39.42,23.11,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=L0UmiX6iREPdk2VOTlrNjHKy,N/A,
