Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
M49A,A substituted shaman,North Alaskan Inupiat,68.77683,-160.64844,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=685929360a3ccb18c975895e,https://www.ruthenia.ru/folklore/berezkin/m49a.html,Curtis 1976 (20) : 258-259
M50,Next to the stars,"Chukchi, Ainu",67.48427,174.6875,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4324846c3f706288b92aa427,https://www.ruthenia.ru/folklore/berezkin/m50.html,
M51,The meat is on the tree,Jicarilla,36.5,-104,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=cb203bb76b26a48941e1375a,https://www.ruthenia.ru/folklore/berezkin/m51.html,Russel 1898 : 263-264
M51,The meat is on the tree,Ceres,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=25ba89014e5041b6803cbc01,https://www.ruthenia.ru/folklore/berezkin/m51.html,"Parsons 1918, No. 10 , 11 : 229-230, 230-231"
M51,The meat is on the tree,"Tewa (San Juan, Santa Clara, San Ildefonso, Tesuque, Nambe; Hano), Tiwa (Taos, Picuris; Sandia, Isleta), Towa (Jemez)",35,-106.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=cf9ae9d0d00f2903b9db2fe8,https://www.ruthenia.ru/folklore/berezkin/m51.html,
M51,The meat is on the tree,Payutes,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=f355546a48f9d2d84694e764,https://www.ruthenia.ru/folklore/berezkin/m51.html,"Sapir 1930, No. 17 : 457-463"
M52,Mascara fresheners,Jicarilla,36.5,-104,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=d0a6225eec81221ae0517932,https://www.ruthenia.ru/folklore/berezkin/m52.html,Russel 1898 : 263-264
M52,Mascara fresheners,Kiowa Apache,36,-98,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=058b0d0bccb146bf545905ea,https://www.ruthenia.ru/folklore/berezkin/m52.html,
M53,"Game dances around the hunter, K826",Plains Cree,54,-109,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7vivor0ek2myt3tg63rumklz,https://www.ruthenia.ru/folklore/berezkin/m53.html,Steppe Cree : Ahenakew 1929 : 331-332
M53,"Game dances around the hunter, K826",Stranger,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=a3a0ddb42e1fb4f7e7a41559,https://www.ruthenia.ru/folklore/berezkin/m53.html,
M53A,Crows and seals,North Alaskan Inupiat,68.77683,-160.64844,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fa41efa3e781e5594e49709e,https://www.ruthenia.ru/folklore/berezkin/m53a.html,
