Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
456,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=u4nqdokuhcnhm6iswuwzw15g,N/A,http://www.gutenberg.org/ebooks/10
456,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=te8svouudhcefy3f3ds5pt84,N/A,http://www.gutenberg.org/ebooks/10
458,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=6606q48tgdp6qkip1maxvwuv,N/A,http://www.gutenberg.org/ebooks/10
460A,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=zrmTUlRpeGeHaThwHlx4ZvY8,N/A,xmlfiles/lang/lang_crimson-16.xml
461,N/A,"Serbs, Monte Negro, Balkarians",44,20.5,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=l3jSo5FvqMlz22bmPKS0nbfQ,N/A,xmlfiles/lang/lang_violet-4.xml
461,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=xRBMeIqA2qNgUwcWMgR79rqD,N/A,xmlfiles/eng/trans-3272.xml
461,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=ZcTuSFmmIlfhPy6U270RkIqn,N/A,xmlfiles/eng/trans-276.xml
461,N/A,Czech Republic &amp; Slovakia,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=rLmkpfaXfwhrBi4wy0OZJfx1,N/A,xmlfiles/new/czechoslovak-2.xml
462,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=wt6IxKyDp5RPUK7EpfYX0Psr,N/A,xmlfiles/lang/lang_crimson-31.xml
463,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=E5q2gOmQ2wRi6JWIqHixxBet,N/A,xmlfiles/eng/trans-3441.xml
469,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=crtevlf69gp3ol0vtghkxdma,N/A,http://www.gutenberg.org/ebooks/10
471,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=fPKzfmtvi2c1meVhNlGBPAI4,N/A,xmlfiles/eng/trans-3285.xml
480,N/A,Kashubians,54.28803,17.06055,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=kSiy5eOUYVXFR5GuB3h7UFlT,N/A,xmlfiles/new/polish-7.xml
480,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=y0lKZBywpMJXsdjxIVWEpLCg,N/A,xmlfiles/pol/trans-124.xml
480,N/A,"Danes, Danish",56,10,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=yVNlPIEeMvTsOvj0Nz7peck4,N/A,xmlfiles/lang/lang_pink-35.xml
480,N/A,"Slovakians, Slovaks",48.7,19.5,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=7trxtCNozIZHWAtb7LUwyViq,N/A,xmlfiles/new/czech-1.xml
480,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=qEuoToPgQW2JOFrDPR5Jy52X,N/A,xmlfiles/lang/lang_yellow-33.xml
480,N/A,Scandinavians: Early Written Sources (&quot;Edda&quot;; Saxo Grammaticus Etc.); Gothland Picture Stones; Ancient Germans (Late Bronze Age In Scandinavia),58.40427,11.37695,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=ZivvKXiOXjkKPhgOffq5B8gQ,N/A,xmlfiles/lang/lang_orange-12.xml
480,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=jQvwwfGukVQfGj8fwDv4kYT3,N/A,xmlfiles/pol/trans-1900.xml
480,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=R6Z5IgyMyz9vxnkhNAF1wp7x,N/A,xmlfiles/lang/lang_red-32.xml
480,N/A,Scandinavians: Early Written Sources (&quot;Edda&quot;; Saxo Grammaticus Etc.); Gothland Picture Stones; Ancient Germans (Late Bronze Age In Scandinavia),58.40427,11.37695,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=UAlLuc1oQahrEuDUHj5dEDxj,N/A,xmlfiles/lang/lang_orange-10.xml
480,N/A,Czech Republic &amp; Slovakia,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=y7ubxEvNVxLMwPnShrucF56V,N/A,xmlfiles/new/czechoslovak-9.xml
